Dist1,Dist2,Dist3,Dist4,Dist5,Choice
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,61,44,-1
42,59,148,62,43,3
42,60,148,60,43,3
42,60,148,60,44,3
42,60,148,59,43,3
42,61,148,61,44,3
42,60,148,61,43,3
42,61,148,62,43,3
42,60,148,59,43,3
42,61,148,60,43,3
42,61,148,59,43,3
42,60,148,59,43,3
43,60,148,60,44,3
42,61,148,58,43,3
42,63,148,57,43,3
43,64,148,57,43,3
43,66,148,56,43,3
42,65,148,55,42,3
43,69,144,55,41,3
44,71,134,52,41,3
46,79,124,51,41,3
46,147,114,49,40,3
47,148,103,48,38,3
48,148,91,43,37,3
52,148,79,41,35,3
56,148,67,36,34,3
71,130,54,31,30,3
148,107,40,25,26,3
148,83,26,19,19,3
148,54,24,8,11,3
